,Time,BG,CGM,CHO,basal,bolus,LBGI,HBGI,Risk,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12
1092,2018-01-01 18:12:00,63.81700724812172,67.38536673353059,0.0,0.021125,0.0,11.052121735458627,0.0,11.052121735458627,1.6542524379692312,8.252965260625421,5.600511760093576,4.700721089750112,4.067610563089185,2.727604272896268,5.285926186054795,5.665445646951813,5.471470038284182,2.242483785121733,4.589846711869776,5.94226875522884,4.8062914717898035
1093,2018-01-01 18:13:00,63.32357288230417,67.38083518473681,0.0,0.021125,0.0,11.355042649764053,0.0,11.355042649764053,1.6171166444404375,8.246069774193296,5.609547028521631,4.6937882885201905,4.060740713947145,2.723932489876743,5.280787722587427,5.664999220824009,5.472458716120548,2.2389727569197397,4.585526885729566,5.938379339582568,4.798641652807545
1094,2018-01-01 18:14:00,62.83702810848546,67.37125627281532,0.0,0.021125,0.0,11.660062753451774,0.0,11.660062753451774,1.5803192542486868,8.23902015786707,5.619109544367476,4.686917449954431,4.053933308982934,2.7202621900222566,5.275621803740769,5.664538318592567,5.473439307731775,2.23546324509477,4.5812620335775325,5.934488268320752,4.79104170554152
1095,2018-01-01 18:15:00,62.357326942782215,67.34883933255422,0.0,0.021125,0.0,11.967068884356616,0.0,11.967068884356616,1.5438696915185885,8.231806884108593,5.629218700372328,4.680109769057856,4.04718906464548,2.716593555025296,5.270428752495941,5.664063053301234,5.47441178927796,2.231955431185452,4.577051686296289,5.93059576278217,4.783492511571267
1096,2018-01-01 18:16:00,61.884424920498674,67.30474292612342,0.0,0.021125,0.0,12.275945722555413,0.0,12.275945722555413,1.5077773942028654,8.224419658352321,5.639894728102952,4.673366501858472,4.040508731842537,2.7129267640783303,5.265208887574106,5.663573537489861,5.475376137818926,2.2284494941384714,4.57289537288115,5.9267020413702,4.775994977262773
1097,2018-01-01 18:17:00,61.418279224123545,67.23012726287723,0.0,0.021125,0.0,12.586575658674153,0.0,12.586575658674153,1.472051794234624,8.216847344098738,5.651158703488238,4.666688971028983,4.033893099274511,2.7092619939070057,5.259962523503275,5.663069883189849,5.476332331302198,2.2249456103433993,4.5687926206091225,5.922807319597182,4.768550036477326
1098,2018-01-01 18:18:00,60.958848818757076,67.11615433478157,0.0,0.021125,0.0,12.898838647569695,0.0,12.898838647569695,1.436702296625754,8.209077879817013,5.663032543369531,4.6600785719722895,4.027342997038592,2.7055994188026,5.25468997068392,5.662552201919905,5.477280348551052,2.221443953666762,4.56474295520585,5.918911810127709,4.761158653503492
1099,2018-01-01 18:19:00,60.50609459572932,66.9539880600321,0.0,0.021125,0.0,13.212612046145933,0.0,13.212612046145933,1.4017382575634214,8.201098186790968,5.675538990250924,4.65353677939949,4.0208593005253785,2.7019392106537627,5.249391535453416,5.662020604682069,5.478220169252619,2.2179446954853654,4.560745901010403,5.9150157228208755,4.7538218262308805
1100,2018-01-01 18:20:00,60.05997952520066,66.73479443565486,0.0,0.021125,0.0,13.527770433985832,0.0,13.527770433985832,1.3671689615685383,8.1928940669905,5.688701581732348,4.647065154426062,4.014442934630802,2.6982815389775627,5.244067520149329,5.6614752019580505,5.479151773946073,2.214448004718903,4.556800981137839,5.911119264771522,4.7465405895851775
1101,2018-01-01 18:21:00,59.6204688185536,66.44974169989797,0.0,0.021125,0.0,13.84418541540738,0.0,13.84418541540738,1.3330035977922858,8.184450090015321,5.702544600241885,4.6406653522064385,4.008094878306319,2.694626570949854,5.238718223171581,5.660916103705814,5.480075144010883,2.210954047861863,4.552907717639463,5.907222640350501,4.73931601924434
